Date,Open,High,Low,Close,Adj Close,Volume
6/20/2018,20,20.35,19.01,19.030001,19.030001,737
6/21/2018,20.15,20.15,19.5,19.889999,19.889999,184
6/22/2018,20.18,20.18,18.92,19.030001,19.030001,155
6/25/2018,20.450001,20.450001,19.049999,19.809999,19.809999,7892
6/26/2018,19.77,19.77,19.700001,19.700001,19.700001,15
6/27/2018,19.700001,19.700001,19.700001,19.700001,19.700001,15
6/28/2018,19.700001,19.700001,19.700001,19.700001,19.700001,0
6/29/2018,19.59,19.799999,19.59,19.799999,19.799999,6
7/2/2018,19,19.32,18.5,18.5,18.5,324
7/3/2018,18.5,18.5,18.5,18.5,18.5,0
7/4/2018,19.43,19.43,19.43,19.43,19.43,15
7/5/2018,20.280001,20.280001,18.549999,18.549999,18.549999,494
7/6/2018,19.799999,19.799999,19.799999,19.799999,19.799999,100
7/9/2018,19.99,19.99,18.6,19.799999,19.799999,763
7/10/2018,19.9,19.9,19.700001,19.700001,19.700001,554
7/11/2018,20.139999,20.139999,20.139999,20.139999,20.139999,17
7/12/2018,19.83,20.450001,18.74,19.01,19.01,1603
7/13/2018,19.75,19.75,19.690001,19.690001,19.690001,158
7/16/2018,19.9,19.9,18.85,19.6,19.6,6598
7/17/2018,19.5,20.059999,19.5,20.059999,20.059999,1402
7/18/2018,20.049999,20.049999,19.690001,19.959999,19.959999,940
7/19/2018,20.24,20.24,19,19.209999,19.209999,101
7/20/2018,20.1,20.1,19.5,19.5,19.5,271
7/23/2018,19.9,20,19.799999,19.83,19.83,29
7/24/2018,19,19.799999,19,19.5,19.5,260
7/25/2018,19.9,19.9,19.65,19.65,19.65,93
7/26/2018,19.690001,19.690001,19.690001,19.690001,19.690001,500
7/27/2018,19.68,20.379999,19.1,19.219999,19.219999,866
7/30/2018,19,20.59,19,20.200001,20.200001,623
7/31/2018,20.5,20.639999,20.5,20.639999,20.639999,270
8/1/2018,20.639999,20.639999,20.639999,20.639999,20.639999,0
8/2/2018,20.5,20.889999,20.5,20.889999,20.889999,107
8/3/2018,20.5,20.889999,20.5,20.889999,20.889999,2
8/6/2018,21.1,22.5,20.5,20.51,20.51,791
8/7/2018,19.65,21.34,19.65,21.34,21.34,199
8/8/2018,20.299999,20.299999,20.299999,20.299999,20.299999,1262
8/9/2018,21.799999,21.799999,21.799999,21.799999,21.799999,150
8/10/2018,21.370001,21.99,21.370001,21.74,21.74,514
8/13/2018,19.559999,21.799999,19.559999,20.799999,20.799999,8432
8/14/2018,21.549999,21.549999,21.25,21.49,21.49,40
8/16/2018,21.379999,21.9,21.15,21.25,21.25,273
8/17/2018,21.700001,21.700001,20.219999,20.620001,20.620001,3763
8/20/2018,21.780001,21.780001,21.25,21.25,21.25,574
8/21/2018,21.6,21.6,20.450001,20.889999,20.889999,91
8/23/2018,21.799999,21.799999,20.74,21.49,21.49,86
8/24/2018,21.49,21.5,20.549999,21.4,21.4,78
8/27/2018,20.700001,21.299999,20.65,21.1,21.1,8250
8/28/2018,21.1,21.1,21.1,21.1,21.1,158
8/29/2018,21.1,21.1,21.1,21.1,21.1,0
8/30/2018,21.450001,21.450001,20.25,21.200001,21.200001,137
8/31/2018,21.200001,21.200001,21.200001,21.200001,21.200001,0
