URL,Link
/login.aspx,Login
/myprofile.aspx,My Profile
/register.aspx,Register
/default.aspx,Home
/pm/default.aspx,Portfolio
/funds.aspx,Funds Home
/featured-reports.aspx,Analyst Ratings
/funds/factsheets.aspx,Factsheets
/library/fund-news.aspx,Fund News
/tools/mutual-fund-screener.aspx,Screen Funds
https://lt.morningstar.com/dk7pkae7kl/fundcompare/default.aspx?lang=en-IN,Compare Funds
https://lt.morningstar.com/dk7pkae7kl/xray/editholdings.aspx,Instant X-Ray
/tools/etf-quickrank.aspx,Rank ETFs
/equities/default.aspx?mstab=equityhome,Equities Home
/tools/stock-quickrank.aspx,Stocks Quickrank
/tools/quantitativeratings.aspx,Quantitative Ratings
/tools/realtimestockprice.aspx,Real Time
/insurance.aspx,Insurance Home
/tools/insurance-fund-star-ratings.aspx,Star Ratings
/insurance/insurancequickrank.aspx?mstab=insrank,Rank Insurance Funds
/tools/default.aspx,Tools
/library/archives.aspx,Archives
/videos/videos.aspx,Videos
/adviser/default.aspx,Adviser
/askmorningstar/askmorningstar.aspx,Ask Morningstar NEW
http://www.morningstar.in/,
http://corporate.morningstar.com/us,Company Site
../Membership/Default.aspx,Login
https://msmedia.morningstar.com/mstar/adclick/FCID=87588/random=14154746/site=ms.in/size=728x90/area=coverpage.funds/pos=top/random=14154746/viewid=14154746/viewid=8039718,
https://msmedia.morningstar.com/mstar/adclick/FCID=88791/random=49668233/site=ms.in/size=195x90/pos=topright/random=49668233/viewid=49668233/viewid=8039718,
/membership,Membership
/default.aspx,Home
/pm/default.aspx,Portfolio
/funds.aspx,Mutual Funds
/equities.aspx,Equities
/personalfinance/investingabc.aspx,Personal Finance
/tools/default.aspx,Tools
/library/archives.aspx,Archives
/videos/videos.aspx,Videos
/adviser/default.aspx,Adviser
/askmorningstar/askmorningstar.aspx,Ask Morningstar NEW
/funds.aspx,Funds Home
/featured-reports.aspx,Analyst Ratings
/funds/factsheets.aspx,Factsheets
/library/fund-news.aspx,Fund News
/tools/mutual-fund-screener.aspx,Screen Funds
https://lt.morningstar.com/dk7pkae7kl/fundcompare/default.aspx?lang=en-IN,Compare Funds
https://lt.morningstar.com/dk7pkae7kl/xray/editholdings.aspx,Instant X-Ray
