,mf,cagr,Standard Deviation(%),Sharpe Ratio,R square,Beta,Alpha,Treynor,information ratio,sortino ratio,Expense ratio
0,Axis Bluechip,13,12.8,0.52,0.87,0.87,1.93,8.87,0.47,0.78,2.54
3,Mirae Asset,16.42,15.24,0.65,0.94,0.99,2.59,10.11,0.67,0.97,2.28
7,Motilal Oswal Focused 35,13.77,13.77,0.53,0.81,0.88,2.05,8.36,0.21,0.83,2.04
9,kotak,13.28,13.69,0.5,0.94,0.94,1.19,7.3,0.28,0.82,2.07
12,L&T Midcap Fund,15.49,16.41,0.55,0.91,0.91,0.83,9.94,0,0.78,2.39
16,HDFC Mid-Cap Opportunities Fund,14.1,15.97,0.48,0.95,0.9,-0.49,8.48,-0.34,0.83,2.25
19,kotak standard multicap fund,14.41,13.71,0.58,0.96,0.94,2.32,8.5,0.68,0.96,1.17
30,Principal Hybrid Equity Fund,13.86,12.11,0.61,0.82,0.96,3.27,7.7,0.6,0.86,2.11
44,SBI Small Cap Fund,18.03,19.43,0.6,0.81,0.83,7.17,14.01,0.69,0.95,2.8
47,Aditya Birla Sun Life Small Cap Fund - Direct Plan,16.55,18.36,0.55,0.93,0.84,5.63,12.05,0.8,0.85,1.27
