mf,cagr,Standard Deviation(%),Sharpe Ratio,R square,Beta,Alpha,Treynor,information ratio,sortino ratio,Expense ratio,risk
Aditya Birla Sun Life Equity Fund,12.99,14.54,0.45,0.91,0.97,0.71,6.76,0.12,0.7,2.25,low
Aditya Birla Sun Life Equity Hybrid 95 Fund,9.98,10.36,0.34,0.83,0.83,-0.04,4.26,-0.16,0.51,2.29,low
Aditya Birla Sun Life Pure Value Fund,11.17,16.82,0.28,0.96,0.95,-3.88,4.96,-1.19,0.41,2.4,high
Aditya Birla Sun Life Regular Savings Fund ,9.1,6.58,0.4,0.68,1.21,0.91,2.2,0.31,0.67,2.1,high
Aditya Birla Sun Life Small & Midcap Fund,11.17,16.82,0.28,0.96,0.95,-3.88,4.96,-1.19,0.41,2.4,low
Aditya Birla Sun Life Small Cap Fund - Direct Plan,16.55,18.36,0.55,0.93,0.84,5.63,12.05,0.8,0.85,1.27,medium
Axis Bluechip,13,12.8,0.52,0.87,0.87,1.93,8.87,0.47,0.78,2.54,high
axis long term equity fund elss ,12.99,12.76,0.51,0.86,0.83,1.56,7.91,0.1,0.71,2.26,low
Canara Robeco Emerging Equities,15.25,18.13,0.49,0.93,1.17,0.08,7.55,0.24,0.66,1.98,medium
dsp blackrock,9.58,14.68,0.21,0.93,0.98,-0.279,3.19,-0.72,0.38,2.14,medium
dsp blackrock tax saver fund,12.55,15.49,0.39,0.93,1.04,-0.16,5.87,0.02,0.65,2.1,high
Franklin India Corporate Debt Fund,7.52,1.72,0.62,0.56,0.56,1.16,1.91,0.8,0.7,0.91,medium
franklin india taxshield,8.84,12.24,0.2,0.94,0.83,-2.58,2.9,-0.92,0.3,2.08,medium
HDFC Mid-Cap Opportunities Fund,14.1,15.97,0.48,0.95,0.9,-0.49,8.48,-0.34,0.83,2.25,low
HDFC Small Cap Fund - Regular Plan,18.34,17.43,0.68,0.93,0.79,7.66,14.98,1.02,0.98,2.04,low
ICICI Bluechip,11.61,13.27,0.39,0.94,0.93,0.21,5.58,-0.06,0.61,2.11,medium
ICICI Prudential Advisor Series-Debt Management Fund,7.75,1.88,0.69,0.91,0.78,1.41,1.67,1.9,1.23,1.05,high
ICICI Prudential Banking & PSU Debt Fund,7.97,2.67,0.57,0.41,6.99,16.72,0.22,1.47,0.94,0.87,low
ICICI Prudential MIP 25  ,9.09,4.52,0.58,0.8,0.9,1.34,2.93,0.57,0.84,2.01,medium
kotak,13.28,13.69,0.5,0.94,0.94,1.19,7.3,0.28,0.82,2.07,high
kotak standard multicap fund,14.41,13.71,0.58,0.96,0.94,2.32,8.5,0.68,0.96,1.17,low
L&T Midcap Fund,15.49,16.41,0.55,0.91,0.91,0.83,9.94,0,0.78,2.39,high
Mirae Asset,16.42,15.24,0.65,0.94,0.99,2.59,10.11,0.67,0.97,2.28,high
mirae asset india equity fund,13.43,14.38,0.49,0.98,0.99,1.01,7.04,0.46,0.72,2.1,medium
Motilal Oswal Focused 35,13.77,13.77,0.53,0.81,0.88,2.05,8.36,0.21,0.83,2.04,low
Principal Hybrid Equity Fund,13.86,12.11,0.61,0.82,0.96,3.27,7.7,0.6,0.86,2.11,high
Reliance Small Cap Fund,18.14,19.68,0.59,0.94,0.91,6.85,12.9,1.26,0.8,2.36,high
reliance tax saver,7.9,18.38,0.08,0.88,1.2,-5.78,1.21,-0.64,0.13,1.98,low
SBI Bluechip,10.48,12.81,0.32,0.9,0.87,-0.63,4.46,-0.29,0.48,2.35,low
SBI Magnum Medium Duration Fund,8.1,2.16,0.77,0.63,0.74,1.77,2.23,1.25,1.48,1.46,medium
sbi magnum multicap fund,12.6,14.41,0.43,0.94,0.97,0.28,6.31,0.04,0.61,2.46,high
SBI Small Cap Fund,18.03,19.43,0.6,0.81,0.83,7.17,14.01,0.69,0.95,2.8,medium
