Fund me ,Mean,standard deviation,sharpe,sortino,beta,Alpha,R square,Treynor ratio,Expense Ratio,Min Investment Amt. ,SIP ( YES/NO),Lumpsum(Yes/No),V,AUM ( CR )
 Reliance ETF Junior BeES,13.77,16,0.46,0.83,0.96,2.21,0.69,10.26,0.0023,10000,no,yes,315.92,515
DSP Top 100 Equity Fund - Regular Plan,9.54,14.98,0.21,0.34,1.02,-2.38,0.89,5.58,0.0218,1000,yes,yes,213.826,3008
ICICI Prudential NV20 ETF,0,0,0,0,0,0,0,0,0.49,5000,no,yes,56.54,10
Aditya Birla Sun Life Frontline Equity Fund,10.51,13.3,0.31,0.48,0.93,-0.9,0.75,19.37,2.18,500,yes,yes,230.89,21380
HSBC Large Cap Equity Fund,11.78,14.84,0.36,0.58,1.04,-0.23,0.92,20.11,2.21,5000,yes,yes,218,730
ICICI Prudential Nifty Low Vol 30 ETF,0,0,0,0,0,0,0,0,0.5,5000,no,yes,91.91,15
IDFC Sensex ETF,0,0,0,0,0,0,0,0,0.13,5000,no,yes,394.25,0.92
LIC MF Exchange Traded Fund - Nifty 100,0,0,0,0,0,0,0,0,0.26,5000,no,yes,123.11,318
Franklin India Bluechip Fund,8.52,12.83,0.16,0.3,0.9,-2.75,0.94,6,2.06,5000,yes,yes,484.5,8108
Tata Large Cap Fund - Regular Plan,0.1163,0.1304,0.4,0.63,0.96,-0.03,0.94,5.43,2.33,5000,yes,yes,223.7,803
L&T EMERGES BUSINESS FUND,20.34,18.56,0.75,1,0.85,9.38,0.93,18.6,2.43,5000,yes,yes,27.024,5280
sbi small cap fund,18.03,19.34,0.6,0.95,0.83,7.17,0.81,18.39,2.8,5000,yes,yes,55.79,917
Reliance Small Cap Fund  ,18.14,19.68,0.59,0.8,0.91,6.85,0.94,16.98,2.36,5000,yes,yes,44.1204,7019
Sundaram Small Cap Fund - Regulr plan,8.99,22.48,0.11,0.16,1.04,-3.01,0.95,5.09,2.36,5000,yes,yes,89.6535,1192
DSP Small Cap Fund - Regular Plan ,12.28,18.82,0.31,0.43,0.85,1.3,0.92,9.47,2.22,1000,yes,yes,59.603,5351
Kotak Small Cap Fund - Regular Plan  ,11.65,16.69,0.31,0.51,0.75,1.22,0.89,10.1,2.53,5000,yes,yes,76.22,808
HDFC Small Cap Fund - Regular Plan  ,18.34,17.43,0.68,0.98,0.79,7.6,0.92,18.48,2.04,5000,yes,yes,45.341,4578
Franklin India Smaller Companies Fund  ,13.19,14.73,0.46,0.66,0.67,3.17,0.91,12.96,2.15,5000,yes,yes,58.0698,7295
HSBC Small Cap Equity Fund  ,10.74,21.42,0.2,0.31,0.98,-0.91,0.92,7.42,2.26,5000,yes,yes,54.4741,584
Aditya Birla Sun Life Small Cap Fund  ,15.51,18.35,0.49,0.78,0.84,4.59,0.93,12.98,2.42,1000,yes,yes,38.7788,2247
"sundaram mid cap, regular plan",11.71,16.94,0.31,0.46,0.95,-3.32,0.93,8.55,0.0212,5000,yes,yes,,
Motilal Oswal Midcap 30 Fund - Regular Plan,8.29,14.04,0.13,0.2,0.73,-4.72,0.79,6.87,0.0239,5000,yes,yes,,
aditya birla sun life mid cap,11.17,16.82,0.28,0.41,0.95,-3.88,0.94,7.8,0.024,1000,yes ,yes,,
L&T Midcap Fund  ,15.49,16.41,0.55,0.78,0.91,0.83,0.9,12.58,0.0202,5000,yes,yes,,
